pdf_page,figure_no,species_common,height_b1,height_b2,height_b3,height_b4,height_b5,si_b1,si_b2,si_b3,si_b4,si_b5,parse_status,source,years_to_bh
139,116,Aoblolly pine plantations--Coastal Plain,1.0107,1.1384,-0.0393,0.4584,0.2413,0.9172,0.9646,-0.0982,-1.033,0.2288,ok,"Figure 116.Aoblolly pine plantations--Coastal Plain (Amateis and Burkhart 1985) Coastal Plain throughout most of natural range 105 plots, cutover and site prepared land, 1 dominant and 1 codominant tree on each plot Stem analysis, differential equation, polymorphic Site index is total height at 25 years since planting Convert DBH age to age since planting by adding years according to site index (BH 0.0)",
140,117,LobIoIIy pine plantations--well drained,1.1519,1,-0.1003,1.664,0.0001,0.868,1,-0.1003,-1.665,-0.00004,ok,"Figure 117. - LobIoIIy pine plantations--well drained (Pienaar and Shiver 1980) Coastal plains of North and South Carolina - all except very poorly drained soils 154 plots, site prepared lands, 2 dominant and codominant trees on each plot Stem analysis, nonlinear regression, anamorphic Site index is total height at 25 years since planting Convert DBH age to age since planting by adding years according to site index (BH 0.0)",
141,118,LobloIIy pine plantations--poorly drained,1.5177,1,-0.0551,1.436,-0.0001,0.6596,0.9998,-0.0551,-1.4347,0.0002,ok,"Figure 118. - LobloIIy pine plantations--poorly drained (Pienaar and Shiver 1980) Coastal Plains of North and South Carolina - very poorly drained soils in pocosins 25 plots, site prepared lands, 2 dominant and codominant trees on each plot Stem analysis, nonlinear regression, anamorphic Site index is total height at 25 years since planting Convert DBH age to age since planting by adding years according to site index (BH 0.0)",
142,119,Loblolly pine plantations,,,,,,,,,,,too_few:0,"Figure 119. - Loblolly pine plantations (Smalley and Bower 1971) Central Tennessee, Northern Alabama, and Northwest Georgia 270 plantations, number of dominant and codominant trees not given Total height and age from seed, anamorphic, bgarithm equation Site index is total height at 25 years age from seed Convert DBH age to age from seed by adding years according to site index (BH 0.0)",
143,120,Loblolly pine plantations,1.1547,0.9973,-0.0915,1.2294,0.0029,0.855,1.0066,-0.0931,-1.3579,-0.0163,ok,"Figure 120. - Loblolly pine plantations (Lenhart 1971) Interior West Guff Coastal Plain of Texas, Louisiana, and Arkansas 699 plots, number of dominant and codominant trees not given Total height and total age, anamorphic, logarithm equation Site index is total height at 25 years total age Conven DBH age to total age by adding years according to site index (BH 0.0)",
144,121,Lobblly pine plantations,2.7644,0.9991,-0.009,0.6293,0.0003,0.2937,1.0738,-0.0112,-0.9033,-0.0801,ok,"Figure 121. - Lobblly pine plantations (Popham et al. 1979) Lower West Gutf Coastal Plain of eastern Texas, Louisiana, Arkansas, and Alabama 293 permanent growth plots on cutover sites, number of dominant and codominant trees not given Remeasurements of total height and total age, anamorphic, regression equations Site index is total height at 25 years total age Convert DBH age to total age by adding years according to site index (BH 0.0)",
145,122,LobIoIIy pine plantations,1.2697,1.0002,-0.0885,2.0238,0.0006,0.705,1.0303,-0.086,-2.7362,-0.1026,ok,"Figure 122. - LobIoIIy pine plantations (Gilmore and Metcalf 1961 a) Southern Illinois 53 plantations, number of dominant trees not given Total height and plantation age, anamorphic, logarithm equation Site index is total height at 25 years plantation age Convert DBH age to plantation age by adding years according to site index (BH 0.0)",
146,123,Virginia pine,1.2096,1.014,-0.038,1.3247,0.0374,0.91,0.9645,-0.0396,-1.0279,0.1133,ok,"Figure 123. - Virginia pine (Slocum and Miller 1953) Piedmont of Durham County, North Carolina 116 plots. number of dominant and codominant trees not given Total height and total age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH - 0.0)",
147,124,Virginia pine,1.1204,0.9984,-0.0597,2.4448,-2.1682,0.8421,1,-0.049,-0.0284,-0.0762,ok,"Figure 124. - Virginia pine (Chaiken and Nelson 1959; Nelson, Clutter, and Chaiken 1961) Piedmont of Maryland, Virginia, and the Carolinas 166 plots, number of dominant and codominant trees not given Total height and total age, anamorphic, logarithm equation not given Convert DBH age to total age by adding years according to site index (BH 0.0)",
148,125,Virginia pine,0.7716,1.1087,-0.0348,0.1099,0.5274,1.0955,0.9455,-0.0527,-0.3886,0.3628,ok,"Figure 125. - Virginia pine (Kulow, Sowers. and Heesch 1966) West Virginia, Maryland, and Pennsylvania 922 dominant and codominant trees, number of plots not given Total height and total age, anamorphic, logarithm equation Convert DBH age to total age by adding years according to site index (BH = 0.0)",
149,124,Virginia pine,1.1204,0.9984,-0.0597,2.4448,-0.0284,0.8421,1,-0.049,-2.1682,-0.0762,ok,"Figure 124. - Virginia pine (Chaiken and Nelson 1959; Nelson, Clutter, and Chaiken 1961) Piedmont of Maryland, Virginia, and the Carolinas 166 plots, number of dominant and codominant trees not given Total height and total age, anamorphic, logarithm equation not given Convert DBH age to total age by adding years according to site index (BH 0.0)",
150,126,Northern white-cedar,1.973,1,-0.0154,1.0895,0,0.5068,1,-0.0154,-1.0895,0,ok,"Figure 126. - Northern white-cedar (Gevorkiantz 1957e) Lake States Number of plots and number of dominant and codominant trees not given Total height and total age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH 0.0)",
151,127,Eastern hemlock,2.1493,0.9979,-0.0175,1.4086,-0.0008,0.2172,1.1309,-0.0105,-1.912,-0.1327,too_few:0,"Figure 127. - Eastern hemlock (Frothingham 1915a) Based on average of ""maximum"" height growth curves from stands in New York, Michigan, and Southern Appalachian Mountains Number of plots and number of dominant trees not given Total height and age, anamorphic, equation not given Add 6 years to DBH age to obtain total age. Vigorous uninjured freegowing dominants in even aged stands are particularly important for estimating site index of hemlock (BH - 0.0)",6
